1|American Airlines|AA|+1|800-433-7300|contact@aa.com|www.aa.com|1
2|IndiGo|6E|+91|0124-6173838|support@goindigo.in|www.goindigo.in|2
3|British Airways|BA|+44|0344-493-0787|contact@britishairways.com|www.britishairways.com|3
4|Qantas Airways|QF|+61|13-13-13|info@qantas.com.au|www.qantas.com.au|4
5|Air France|AF|+33|365-544|contact@airfrance.com|www.airfrance.com|5
6|Lufthansa|LH|+49|069-867-99300|info@lufthansa.com|www.lufthansa.com|6
7|Air Canada|AC|+1|888-247-2262|info@aircanada.com|www.aircanada.com|7
8|Japan Airlines|JL|+81|0120-25-5971|info@jal.com|www.jal.com|8
9|LATAM Airlines|LA|+55|4002-5700|contact@latam.com|www.latam.com|9
10|China Eastern Airlines|MU|+86|95530|info@ceair.com|www.ceair.com|10
11|Korean Air|KE|+82|1588-2001|contact@koreanair.com|www.koreanair.com|11
